"Points:0","Points:1","Points:2"
2.44108,-0.01577,0
2.67595,-0.04227,0
2.16594,-0.04252,0
2.32817,-0.03204,0
2.50592,-0.00793,0
1.89939,-0.05412,0
0.92966,-0.02331,0
0.64733,0.04807,0
1.6231,-0.04536,0
2.58324,-0.02216,0
1.69837,-0.02846,0
2.45029,-0.00983,0
2.5251,-0.03316,0
1.30033,0.01342,0
0.2572,0.00643,0
2.26277,-0.07195,0
0.53973,0.03802,0
2.22221,-0.07407,0
2.45252,-0.01643,0
2.40307,-0.04967,0
0.50107,0.03467,0
1.08604,-0.02147,0
2.07743,-0.0687,0
0.3248,0.00817,0
1.5731,-0.04628,0
0.47164,0.04677,0
1.80477,-0.062,0
2.61597,-0.02518,0
0.55637,0.05621,0
1.0419,-0.01013,0
2.25123,-0.04348,0
0.99697,-0.03971,0
1.18607,-0.02893,0
