"Points:0","Points:1","Points:2"
1.44209,0.14346,0
0.68227,0.08373,0
1.20539,0.19397,0
0.64586,0.1029,0
2.96433,0.11327,0
2.42707,-0.1253,0
0.63984,0.10708,0
1.15616,0.17513,0
2.87007,0.15162,0
1.38834,0.15129,0
1.91504,0.06557,0
1.90815,0.07188,0
0.91868,0.11789,0
1.00193,0.12785,0
2.25896,-0.07652,0
3.16175,-0.05708,0
2.59854,0.04625,0
1.65274,0.04574,0
1.74854,0.0334,0
2.46039,-0.05355,0
2.72806,0.15581,0
1.23584,0.16887,0
0.97219,0.12051,0
2.71347,0.15164,0
2.5959,0.04762,0
3.18785,-0.06122,0
2.71332,0.14908,0
2.75436,0.16501,0
0.69017,0.11012,0
1.87002,0.05345,0
1.52929,0.13037,0
2.97766,0.07621,0
2.35073,-0.14078,0
0.9715,0.12934,0
1.37313,0.1714,0
3.00677,0.0885,0
0.88262,0.13209,0
3.01734,0.09156,0
1.72783,0.03968,0
0.55027,0.08332,0
1.86166,0.04111,0
1.97296,0.09527,0
2.0126,0.05824,0
2.25984,-0.1006,0
1.99102,0.09442,0
0.81117,0.09423,0
1.46087,0.14654,0
2.16204,-0.04867,0
