"Points:0","Points:1","Points:2"
3.03387,-0.12383,0
2.75125,-0.46419,0
2.73996,-0.59331,0
2.98049,-0.1582,0
3.49443,-0.89707,0
3.48501,-0.05443,0
2.71768,-0.66429,0
3.01812,-0.16938,0
2.71017,-0.57392,0
3.65383,-0.66896,0
3.5644,-0.83644,0
3.51767,-0.88996,0
3.74935,-0.59507,0
3.56073,-0.02693,0
3.66262,-0.67512,0
3.67614,-0.67474,0
3.73622,-0.58478,0
3.66286,-0.01219,0
3.85812,-0.4612,0
3.82096,-0.48297,0
3.83202,-0.49726,0
3.96346,-0.35408,0
3.87347,-0.42305,0
3.92995,-0.35706,0
4.02127,-0.2206,0
3.98616,0.00456,0
