"Points:0","Points:1","Points:2"
3.0026,-0.05577,0.00087
2.75438,-0.08556,0.0015
2.51475,-0.01431,0.00244
2.26885,-0.05936,3e-05
2.01903,-0.04998,0
1.7692,-0.0406,0
1.51988,-0.02221,7e-05
1.27024,-0.00878,0.00073
1.0207,-0.02393,2e-05
0.77639,0.02909,0
0.52727,0.04993,0.00223
0.27927,0.01847,0
0.03017,-0.00273,0
