"Points:0","Points:1","Points:2"
2.94654,-0.82009,0
2.58694,-0.93902,0
2.41616,-1.21082,0
2.43881,-1.05497,0
2.8629,-0.8354,0
3.32622,-0.86762,0
2.94494,-0.81273,0
2.44584,-1.13212,0
2.46602,-1.00094,0
2.82173,-0.83642,0
2.91871,-0.82045,0
3.28124,-0.86343,0
3.10629,-0.81238,0
2.45237,-1.11554,0
2.93933,-0.83546,0
2.38453,-1.22928,0
3.2764,-0.86027,0
3.44297,-0.9253,0
2.76368,-0.8483,0
2.45674,-1.28487,0
2.46793,-1.27333,0
2.62805,-1.30556,0
2.63723,-1.40027,0
2.66209,-1.45228,0
2.67183,-1.47268,0
2.6889,-1.47596,0
2.67892,-1.5128,0
2.30231,-2.03184,0
2.41074,-1.92434,0
2.4374,-1.89262,0
2.19426,-2.17937,0
2.13151,-2.23649,0
2.16657,-2.19754,0
2.23279,-2.15189,0
2.51711,-1.83874,0
2.50955,-1.86461,0
2.68454,-1.68562,0
2.68923,-1.66794,0
2.58527,-1.82342,0
2.67677,-1.78026,0
