"Points:0","Points:1","Points:2"
2.44278,0.20814,0
4.09336,0.04202,0
3.97927,0.11755,0
2.06761,0.09926,0
2.57268,0.21001,0
3.28854,0.16797,0
3.32157,0.23529,0
3.98026,0.12838,0
3.72256,0.27009,0
3.7705,0.23438,0
3.41776,0.42976,0
2.9251,0.14085,0
3.36623,0.47592,0
2.87863,0.17151,0
4.08339,0.06349,0
3.25014,0.10817,0
4.12118,0.06459,0
4.04284,0.07668,0
2.686,0.23958,0
3.34884,0.31167,0
3.71135,0.25811,0
4.02222,0.07101,0
3.2136,0.00067,0
3.33337,0.42064,0
3.42683,0.45548,0
3.00113,0.0839,0
2.8303,0.21008,0
3.29856,0.13239,0
