"Points:0","Points:1","Points:2"
2.35102,0.07153,0
1.60583,0.03723,0
3.937,0.01153,0
2.71471,0.05127,0
1.30088,0.01165,0
1.27614,0.02102,0
2.53055,0.06866,0
1.15044,0.04206,0
2.95529,0.04211,0
1.19571,0.02284,0
2.49741,0.07112,0
1.28742,0.01075,0
2.39494,0.05819,0
2.19144,0.07319,0
1.79794,0.0487,0
3.27396,0.04114,0
2.37932,0.07746,0
3.77047,0.04931,0
3.96516,0.00907,0
2.65284,0.06781,0
1.59767,0.02673,0
3.36487,0.00234,0
1.41709,0.02375,0
2.05462,0.04979,0
3.19676,0.02912,0
2.54524,0.08151,0
1.94375,0.03358,0
3.42853,-0.01255,0
2.09379,0.05684,0
3.41187,0.00087,0
1.36951,0.04423,0
3.17463,0.04935,0
2.87664,0.04042,0
1.94363,0.04641,0
1.9978,0.03928,0
2.43995,0.08024,0
2.55184,0.08463,0
2.72879,0.06137,0
