"Points:0","Points:1","Points:2"
2.33601,-0.01107,0
2.38254,-0.01742,0
1.92652,-0.03373,0
1.33162,-0.00586,0
2.06118,-0.01493,0
3.48525,-0.01818,0
2.27561,-0.00955,0
1.17264,-0.00052,0
1.58199,0.00865,0
3.79858,0.03788,0
1.77684,-0.00564,0
2.34835,-0.01225,0
2.42869,-0.01372,0
3.85223,0.04089,0
2.84143,0.01517,0
2.06495,-0.02575,0
1.42281,0.02512,0
1.29559,-0.0033,0
3.44369,0.00603,0
2.88368,0.02096,0
3.98407,0.00223,0
1.89335,-0.03553,0
3.22274,-0.01788,0
3.96516,0.00907,0
3.93965,0.01563,0
3.07311,0.02524,0
3.29261,-0.01466,0
3.8099,0.03259,0
3.33856,-0.00863,0
1.12353,-0.01231,0
2.95892,-0.00247,0
2.50113,-0.01827,0
1.34669,-0.0128,0
2.66536,-0.00912,0
1.2746,-0.01128,0
2.86065,0.00583,0
2.82509,0.02477,0
1.46137,0.01354,0
