"Points:0","Points:1","Points:2"
16.3897,2.90965,0
16.3112,2.05265,0
16.4058,2.25955,0
16.312,2.05107,0
16.3118,2.05507,0
16.417,2.2913,0
16.4156,2.2834,0
16.4035,2.26648,0
16.4034,2.28473,0
16.5414,2.62726,0
16.5168,2.49146,0
16.5435,2.55047,0
16.5156,2.655,0
16.5029,2.45044,0
16.4927,2.46785,0
16.2708,1.9982,0
16.3014,2.00151,0
16.2609,1.91948,0
16.2896,1.68341,0
16.2835,1.64023,0
16.2873,1.47003,0
16.2698,1.40528,0
16.6103,1.15538,0
16.5467,1.14137,0
16.5986,1.14531,0
16.8858,0.83086,0
16.9413,0.70628,0
16.9356,0.67455,0
16.8578,0.82044,0
