"Points:0","Points:1","Points:2"
3.12754,-0.00945,0
2.14987,0.02424,0
2.42856,0.01767,0
1.68229,0.01424,0
2.79319,-0.01339,0
3.69969,0.02228,0
1.28793,-0.00935,0
2.44983,0.0119,0
2.5762,0.00125,0
1.50283,0.00335,0
2.08367,-0.00771,0
3.52885,0.01242,0
2.88212,-0.00547,0
2.11721,0.01427,0
1.86859,0.00518,0
1.939,0.01091,0
3.02554,-0.01993,0
2.70911,-0.0027,0
1.79606,0.02305,0
3.77946,0.02234,0
3.9687,-0.00469,0
3.31443,0.00102,0
3.16481,0.01481,0
2.02737,-0.00215,0
3.3649,0.0028,0
1.22141,0.008,0
3.83851,-0.00997,0
1.38987,0.00492,0
3.0726,-0.01959,0
2.56909,0.00352,0
2.44907,0.02033,0
3.45115,-0.00866,0
1.74074,0.02409,0
2.79112,-0.00624,0
3.61121,-0.00792,0
