"Points:0","Points:1","Points:2"
1.42007,0.01206,0
2.06118,-0.01493,0
3.48525,-0.01818,0
2.27561,-0.00955,0
3.2549,0.00675,0
3.48887,-0.0177,0
3.79858,0.03788,0
1.75545,-0.01003,0
3.30481,0.00592,0
1.64516,0.00124,0
1.53914,0.01856,0
3.08338,0.00951,0
3.44094,-0.00825,0
3.85223,0.04089,0
1.19571,0.02284,0
2.84143,0.01517,0
3.40876,0.0117,0
3.43937,-0.00705,0
1.55434,0.00687,0
1.5384,0.00245,0
1.16265,0.02442,0
3.30389,0.00199,0
2.5395,-0.0021,0
2.163,-0.02709,0
3.00602,0.0299,0
3.90979,0.03087,0
1.11517,0.04505,0
2.20292,-0.02024,0
3.36487,0.00234,0
3.07311,0.02524,0
1.41709,0.02375,0
2.73252,0.02438,0
1.44195,0.03007,0
3.57269,0.0063,0
3.41187,0.00087,0
3.8337,0.0473,0
1.49168,0.01942,0
3.46534,0.00843,0
3.09627,0.00633,0
2.82509,0.02477,0
1.66764,-0.02176,0
