"Points:0","Points:1","Points:2"
3.77219,0.13648,0
2.84631,-0.01928,0
2.48155,0.01277,0
1.77786,-0.03362,0
2.51391,0.01729,0
2.66037,0.01322,0
1.26239,-0.03825,0
2.73849,-0.02204,0
2.85014,-0.01326,0
2.55662,0.0003,0
3.27718,0.01215,0
1.19925,-0.04567,0
3.403,0.05352,0
2.32151,0.01399,0
3.41387,0.05155,0
1.35281,-0.00364,0
2.55486,-0.00307,0
1.5151,-0.01709,0
1.79331,-0.05301,0
3.09197,0.0225,0
2.77984,-0.0202,0
2.05462,0.04979,0
1.85733,-0.05224,0
1.21881,-0.03852,0
2.96406,0.00412,0
2.40463,0.02646,0
1.95023,-0.00494,0
1.48942,-0.02254,0
3.45995,0.04047,0
3.97182,0.03862,0
1.34669,-0.0128,0
2.65758,0.00097,0
1.61577,-0.01157,0
3.55624,0.05663,0
3.09627,0.00633,0
2.86065,0.00583,0
2.25273,0.01983,0
1.9929,0.00108,0
3.78798,0.12017,0
1.30061,-0.00666,0
