"Points:0","Points:1","Points:2"
4.1873,0.11951,0
4.40568,-0.67653,0
4.12007,-0.56222,0
4.3142,-0.01776,0
4.40279,-0.10406,0
4.4243,-0.64179,0
4.13818,-0.50592,0
4.46872,-0.60053,0
4.22599,-0.69212,0
4.3543,-0.70762,0
4.20834,-0.37846,0
4.48398,-0.39543,0
4.11552,-0.4501,0
4.1676,-0.68609,0
4.48354,-0.36019,0
4.46554,-0.36273,0
4.42013,-0.66321,0
4.31653,-0.01859,0
4.22634,0.08685,0
4.11219,0.21427,0
4.53754,-0.47733,0
4.53119,-0.54999,0
4.59922,-0.38056,0
4.68184,-0.28966,0
4.68094,-0.29509,0
4.68414,-0.2836,0
4.73661,-0.07087,0
4.75746,-0.00847,0
4.76442,0.01821,0
4.76342,0.07975,0
4.7571,0.17272,0
4.7602,0.17966,0
4.76689,0.23418,0
