"Points:0","Points:1","Points:2"
2.43419,0.06982,0
1.26313,0.09939,0
1.13617,0.10561,0
1.2364,0.10743,0
1.39105,0.10646,0
2.41626,0.08172,0
2.38144,0.08471,0
3.77864,0.09244,0
2.76033,0.05051,0
2.95529,0.04211,0
1.70559,0.04593,0
2.37054,0.07022,0
2.45326,0.06509,0
1.79794,0.0487,0
2.37932,0.07746,0
3.41387,0.05155,0
3.84795,0.07491,0
3.44011,0.03429,0
1.54965,0.06507,0
3.01079,0.05368,0
3.62866,0.0701,0
1.72316,0.05484,0
3.29919,0.03455,0
2.36872,0.05979,0
2.90168,0.06005,0
2.37113,0.07345,0
3.19676,0.02912,0
1.63452,0.05896,0
2.95412,0.04878,0
1.06234,0.10608,0
3.01942,0.03797,0
3.7941,0.07812,0
2.99807,0.06423,0
3.46123,0.0643,0
1.11391,0.10223,0
2.43995,0.08024,0
2.72879,0.06137,0
3.94349,0.08135,0
1.09541,0.09612,0
