"Points:0","Points:1","Points:2"
3.18377,0.14771,0
3.21294,-0.31716,0
3.14732,-0.04354,0
4.33498,-0.16633,0
3.89155,-0.38658,0
3.22359,-0.31679,0
3.81009,-0.38311,0
3.14984,-0.07541,0
2.94797,0.27397,0
3.00226,0.2694,0
3.78391,-0.39685,0
3.57943,-0.40233,0
3.15927,-0.09571,0
4.12626,-0.33612,0
2.95304,0.26641,0
3.14389,-0.03806,0
4.14194,-0.30329,0
2.85376,0.23465,0
3.6672,-0.41033,0
2.693,0.03349,0
3.66949,-0.37833,0
4.13397,-0.31288,0
3.56334,-0.39203,0
2.67023,-0.00721,0
3.42697,-0.39938,0
3.41012,-0.3781,0
2.68026,0.02521,0
4.12392,-0.34188,0
2.69297,0.13953,0
3.86827,-0.40326,0
3.36816,-0.38827,0
3.25498,-0.34103,0
4.22868,-0.21475,0
4.22776,-0.22504,0
2.69348,0.06748,0
2.68936,0.18956,0
4.33031,-0.14628,0
4.48259,-0.19187,0
2.6874,0.08492,0
3.12936,-0.17087,0
3.1284,-0.10277,0
4.41566,-0.19059,0
3.08523,0.23649,0
2.79544,0.25745,0
3.58326,-0.40779,0
3.99406,-0.35798,0
3.45816,-0.41062,0
4.41478,-0.16112,0
2.67511,-0.02039,0
