"Points:0","Points:1","Points:2"
3.52424,-0.00468,0
3.64159,0.00356,0
2.42856,0.01767,0
1.68229,0.01424,0
1.28793,-0.00935,0
1.56307,-0.00797,0
1.75192,0.01546,0
3.73819,0.0122,0
3.6315,-9e-05,0
3.27094,0.00076,0
1.07973,0.03862,0
1.86859,0.00518,0
1.92057,0.00437,0
1.939,0.01091,0
2.70911,-0.0027,0
2.21664,-0.00351,0
3.70949,0.00741,0
2.15477,0.02574,0
3.3649,0.0028,0
2.64374,-0.00533,0
1.58004,0.00012,0
2.77794,-0.00852,0
3.0726,-0.01959,0
1.07697,0.01841,0
2.87271,0.00823,0
2.56909,0.00352,0
2.8488,0.00554,0
3.4133,-0.0054,0
3.66397,-0.00087,0
1.05489,0.02646,0
3.61121,-0.00792,0
3.97922,-0.01075,0
3.04856,-0.01719,0
