"Points:0","Points:1","Points:2"
1.35429,0.04489,0
3.24536,-0.01769,0
3.937,0.01153,0
2.88721,0.05846,0
1.11149,0.04752,0
2.71471,0.05127,0
3.70832,0.04115,0
3.35485,-0.00997,0
2.47495,0.04626,0
1.70559,0.04593,0
3.45757,-0.00923,0
3.44369,0.00603,0
3.58756,0.0171,0
3.22274,-0.01788,0
1.42258,0.05263,0
1.20024,0.02048,0
1.11517,0.04505,0
3.91711,0.01213,0
3.93136,0.01124,0
2.67919,0.04928,0
2.53397,0.05349,0
2.05462,0.04979,0
3.91445,0.02234,0
3.1534,-0.00977,0
1.44195,0.03007,0
1.41285,0.02216,0
1.5653,0.03904,0
3.05384,0.02214,0
3.67545,0.05088,0
3.72243,0.03906,0
2.31698,0.03112,0
2.72879,0.06137,0
3.86412,0.05108,0
