Ts,x,y,life
245,3.04442,0.06062,57
245,3.24922,0.03955,84
245,3.11429,0.04530,255
249,3.30316,0.02883,251
250,2.49540,0.07746,16
252,2.20726,0.06227,1
254,2.44622,0.07126,246
255,3.27803,0.05569,1
263,2.38493,0.08296,3
263,2.24566,0.07241,237
264,2.17028,0.06664,236
264,2.29376,0.08287,3
266,2.33557,0.08173,158
268,2.27118,0.07374,11
269,2.39032,0.08529,18
285,1.34539,0.07513,1
285,1.38341,0.08481,215
285,1.38454,0.07230,1
285,1.16561,0.08255,3
285,1.22046,0.08728,1
285,1.35770,0.07900,1
286,1.15148,0.09422,214
286,1.22429,0.10093,214
286,1.22270,0.10223,214
286,1.21569,0.09770,214
286,1.08902,0.08189,9
287,1.43558,0.07220,213
287,1.19799,0.10281,213
287,1.35373,0.09872,18
287,1.18439,0.10084,213
288,1.21775,0.09112,4
289,1.13158,0.07147,2
289,1.15416,0.08630,6
289,1.27821,0.11234,2
293,2.09628,0.07598,6
301,3.77262,0.08300,28
302,1.09228,0.11537,21
302,3.73393,0.07640,5
303,3.82502,0.07172,32
305,3.69948,0.07222,195
307,3.34425,0.04587,6
307,3.45184,0.05154,193
307,3.70807,0.09266,3
307,3.38539,0.03948,193
308,3.42425,0.05371,45
308,3.48392,0.07714,1
308,3.70601,0.08022,192
309,3.44553,0.04586,191
310,3.53626,0.06361,42
310,3.83126,0.07209,25
310,3.51907,0.05254,190
311,3.65708,0.06648,189
314,3.84871,0.07325,2
321,3.48467,0.05205,179
327,3.94260,0.06390,6
327,4.01792,0.07105,173
327,4.02283,0.06840,173
328,3.93880,0.07135,172
328,3.96675,0.07703,172
328,4.02242,0.06857,172
328,3.88506,0.07859,172
328,4.03286,0.07221,172
331,3.88121,0.07898,169
331,4.02680,0.07925,2
