Ts,x,y,life
0,3.44094,-0.00825,18
0,1.28742,0.01075,18
1,1.61217,0.00240,16
1,1.93502,-0.01269,27
1,3.91711,0.01213,20
2,1.01298,0.00973,1
2,2.48099,0.01643,7
2,3.91445,0.02234,35
2,3.78795,0.01226,3
3,3.51034,-0.01641,12
3,3.93700,0.01153,36
3,2.64175,0.01201,25
3,2.01713,-0.03166,28
4,2.26962,-0.00854,15
4,2.00832,-0.02718,20
4,3.09350,0.01007,22
4,3.09627,0.00633,24
5,2.97155,0.01952,13
5,1.72317,-0.00568,10
5,1.92840,-0.02463,15
5,2.66215,-0.00052,15
5,3.45757,-0.00923,33
6,2.65758,0.00097,35
6,3.93965,0.01563,40
6,1.43159,0.00351,15
7,3.87909,-0.00214,3
7,1.64516,0.00124,25
7,3.33856,-0.00863,31
7,1.45831,-0.00236,15
8,1.42114,0.00691,10
8,1.75545,-0.01003,24
8,2.96406,0.00412,19
8,2.71620,0.00464,28
9,3.22274,-0.01788,19
9,2.88368,0.02096,15
9,3.90979,0.03087,26
10,2.25931,-0.00798,13
10,3.27679,-0.02219,15
10,2.86745,0.01606,11
11,2.20292,-0.02024,24
11,1.55434,0.00687,20
11,3.60584,0.00290,21
11,3.88589,-0.00227,3
11,1.82280,-0.02097,10
12,3.29261,-0.01466,28
12,3.93136,0.01124,27
12,3.35285,-0.00996,32
12,3.32268,-0.00008,6
13,2.06495,-0.02575,10
13,1.44896,0.00949,23
13,1.92652,-0.03373,18
13,3.48887,-0.01770,19
13,2.82509,0.02477,9
14,2.27561,-0.00955,19
14,4.00725,0.03603,2
14,1.61577,-0.01157,18
14,2.53950,-0.00210,12
14,1.03633,-0.00595,17
15,1.17264,-0.00052,16
15,1.53768,-0.00587,12
15,1.46505,-0.00088,16
16,2.84143,0.01517,21
16,3.35640,-0.02232,20
16,3.96516,0.00907,43
16,3.05384,0.02214,22
17,3.35485,-0.00997,21
17,1.18268,0.00998,16
18,3.08338,0.00951,22
18,2.67023,-0.00721,7
18,3.07527,0.00399,17
19,1.33162,-0.00586,15
19,1.47845,0.00535,18
19,3.42853,-0.01255,27
19,3.73093,0.01895,25
19,1.97170,-0.03170,22
19,2.56237,0.01990,11
19,2.72923,0.01509,11
20,3.43937,-0.00705,26
20,2.32813,0.00656,20
20,3.80990,0.03259,26
20,3.00638,0.02079,26
21,1.27460,-0.01128,13
21,3.98407,0.00223,25
21,1.58199,0.00865,22
21,2.30212,-0.00022,13
23,1.30088,0.01165,17
24,2.39795,-0.00616,17
24,3.30389,0.00199,10
24,1.66628,0.00415,21
24,2.66536,-0.00912,12
24,2.73252,0.02438,8
25,2.45362,0.00271,16
25,3.15340,-0.00977,16
25,3.01471,0.01476,18
25,1.17395,0.00595,14
25,3.46263,-0.02440,8
26,2.81623,-0.00077,7
26,3.67885,0.01390,26
27,2.33601,-0.01107,17
27,1.29559,-0.00330,5
27,2.99536,-0.00603,6
27,2.48155,0.01277,12
28,1.12353,-0.01231,9
28,3.79858,0.03788,26
28,3.65476,0.02414,26
29,1.23036,0.01317,8
30,2.38254,-0.01742,19
30,1.42007,0.01206,15
31,3.65280,0.00616,30
31,2.93116,-0.01118,9
32,3.48525,-0.01818,26
32,1.46137,0.01354,10
32,2.95892,-0.00247,24
32,3.75056,0.02329,23
32,3.47725,0.00419,20
32,2.09286,-0.02341,14
33,1.89335,-0.03553,17
33,2.06118,-0.01493,21
33,2.19552,-0.03029,7
33,3.25490,0.00675,12
33,3.34408,0.00497,10
33,3.27718,0.01215,7
34,3.57269,0.00630,17
34,2.34835,-0.01225,12
34,1.53840,0.00245,18
35,1.27614,0.02102,10
35,3.56669,-0.00584,32
36,1.77684,-0.00564,21
36,3.59309,0.00724,29
36,3.69269,-0.00336,3
37,2.59426,-0.01768,1
37,2.16300,-0.02709,13
37,3.37127,-0.02167,13
38,3.58756,0.01710,28
39,1.20024,0.02048,12
40,3.59315,0.02130,24
41,1.04609,-0.00389,9
42,3.41187,0.00087,37
43,3.97677,0.02761,39
43,3.77047,0.04931,24
43,2.40040,0.00152,20
43,3.72243,0.03906,31
44,2.86065,0.00583,15
44,3.36487,0.00234,22
45,2.42869,-0.01372,13
45,3.38186,-0.00133,28
45,2.04258,-0.01946,12
49,3.09950,-0.01753,8
49,3.85223,0.04089,26
49,3.24536,-0.01769,15
50,2.50113,-0.01827,7
50,1.42088,-0.01587,1
50,1.47720,-0.01611,2
50,3.23369,-0.01555,17
50,3.70832,0.04115,14
52,1.20868,-0.01299,3
53,3.08654,0.02195,11
54,3.09197,0.02250,19
54,3.47720,-0.01042,21
55,2.37855,0.00658,20
58,3.44369,0.00603,17
58,1.75691,-0.02545,8
58,1.66764,-0.02176,14
60,1.34669,-0.01280,2
61,2.79781,-0.00365,10
61,3.30481,0.00592,5
62,1.59135,0.01682,14
63,2.18500,-0.02874,11
64,2.54296,0.01796,13
65,1.41709,0.02375,14
66,1.62133,0.02344,4
66,1.42281,0.02512,14
69,1.41873,-0.01581,1
70,1.49168,0.01942,15
70,3.00602,0.02990,11
70,3.54201,0.02545,6
71,3.46534,0.00843,26
72,3.73299,0.05128,10
85,1.41285,0.02216,19
85,1.32072,0.02215,18
88,1.40010,0.02268,19
93,1.53914,0.01856,16
97,3.37956,-0.02279,7
100,3.83370,0.04730,22
101,3.67545,0.05088,4
103,1.37799,0.02316,11
105,2.74283,-0.00037,7
106,2.25863,0.00551,4
109,3.40876,0.01170,11
110,1.16265,0.02442,6
117,3.07311,0.02524,5
118,1.33359,-0.01957,1
122,2.40496,0.01449,9
124,2.32595,0.01732,3
124,2.17115,0.01024,2
128,2.07677,-0.04374,3
136,1.19571,0.02284,8
137,1.44195,0.03007,24
