"Points:0","Points:1","Points:2"
3.57194,-0.59123,0
3.55844,-0.59296,0
3.70372,-0.47807,0
3.72971,-0.49032,0
3.72074,-0.49599,0
3.59105,-0.59069,0
3.83457,-0.37373,0
3.75723,-0.43412,0
3.89945,-0.32454,0
3.97042,-0.22184,0
4.06572,-0.0909,0
4.12582,-0.05026,0
4.12621,-0.03149,0
4.34772,0.06019,0
4.42308,0.09641,0
4.56001,0.16347,0
4.56553,0.14649,0
4.55782,0.13331,0
4.64665,0.16529,0
4.72207,0.17065,0
4.86466,0.10938,0
4.89235,0.12311,0
5.0396,0.06121,0
5.17855,0.04302,0
5.20735,0.00697,0
5.19877,0.01835,0
5.23601,0.011,0
5.31937,-0.00232,0
5.24594,0.01079,0
5.29773,-0.0127,0
5.39615,-0.07632,0
5.47248,-0.17972,0
5.60005,-0.2756,0
5.80765,-0.32195,0
5.84583,-0.31984,0
