"Points:0","Points:1","Points:2"
7.23728,-5.53135,0
7.11495,-5.80068,0
7.05702,-5.86953,0
7.06995,-5.86545,0
6.93484,-6.16364,0
6.88663,-6.2864,0
6.91497,-6.21327,0
6.89014,-6.33101,0
6.87657,-6.31717,0
6.84426,-6.49492,0
6.85599,-6.68394,0
6.84249,-6.76422,0
6.82644,-6.87386,0
6.78715,-6.94434,0
6.78432,-6.95655,0
6.70841,-7.10886,0
6.75964,-7.05716,0
6.7651,-7.05347,0
6.74165,-7.09372,0
6.64962,-7.15438,0
6.54498,-7.23245,0
6.64509,-7.17672,0
6.68424,-7.13932,0
6.33002,-7.38829,0
6.30277,-7.43651,0
6.30237,-7.43566,0
6.30414,-7.42179,0
6.22075,-7.51281,0
6.18692,-7.52495,0
5.98071,-7.74268,0
