Ts,x,y,life
1,2.53950,-0.00210,15
1,3.80990,0.03259,10
1,2.50113,-0.01827,3
1,3.34408,0.00497,15
1,2.38254,-0.01742,10
2,1.86997,0.03472,11
2,2.68157,0.01478,10
2,2.74736,0.03616,15
2,3.43004,0.00215,17
3,2.05706,0.00881,8
3,3.19676,0.02912,20
3,2.51917,-0.00183,9
3,1.76912,0.03177,11
3,3.40876,0.01170,6
3,3.81773,0.04514,5
3,1.36969,0.02999,12
4,3.85223,0.04089,7
4,1.44059,0.02237,15
4,2.73252,0.02438,9
5,1.35590,0.02964,11
5,2.79814,0.04014,13
5,3.36487,0.00234,9
5,2.55662,0.00030,9
5,2.85473,0.03969,12
5,3.30481,0.00592,10
5,3.47725,0.00419,9
5,2.13143,0.00851,10
5,2.76391,0.04507,14
6,2.95047,0.05690,9
6,3.05981,0.05647,16
6,1.59294,0.02379,12
6,1.19571,0.02284,12
6,2.66037,0.01322,15
6,3.41187,0.00087,23
6,1.15647,0.03387,17
7,2.37402,-0.01499,12
7,3.38186,-0.00133,13
8,2.81306,0.03491,11
8,3.95962,0.04811,16
8,2.89438,0.05841,13
8,2.77556,0.04288,6
8,1.96858,0.01762,20
9,2.34835,-0.01225,7
9,1.66202,0.02395,10
9,2.39795,-0.00616,14
9,1.87837,0.02381,9
9,3.01079,0.05368,19
9,2.88721,0.05846,11
10,3.75714,0.01546,1
10,3.16744,0.02560,12
10,1.41285,0.02216,17
10,1.99590,0.02532,9
10,1.13732,0.03522,14
10,1.03367,0.03535,3
11,3.56669,-0.00584,28
11,1.42281,0.02512,14
11,1.53914,0.01856,9
11,3.86412,0.05108,13
11,2.16726,-0.01316,16
11,2.68781,0.02678,21
12,1.59767,0.02673,16
12,1.62705,0.03476,7
12,3.91896,0.04469,18
13,1.86757,0.04997,1
13,2.79238,0.03645,21
13,2.97981,0.06351,12
13,1.94836,0.02744,12
13,3.42853,-0.01255,11
13,2.00256,0.02429,18
14,3.11429,0.04530,10
14,1.96847,0.03289,2
15,1.21538,0.01442,5
15,2.02653,0.01073,13
15,3.57269,0.00630,7
15,1.73521,0.05176,7
15,3.44369,0.00603,15
16,1.70559,0.04593,8
16,3.08663,0.05859,6
17,1.47380,0.03465,8
17,2.03183,0.01407,13
17,3.35485,-0.00997,9
17,3.94010,0.05892,5
17,3.27573,0.02748,18
17,1.65086,0.02496,9
17,2.55486,-0.00307,9
17,1.14359,0.03007,14
18,3.73093,0.01895,9
18,2.44528,-0.02196,3
18,1.82306,0.02956,9
18,1.20024,0.02048,15
18,3.85159,0.04749,10
19,1.62852,0.02204,18
19,3.46534,0.00843,15
19,3.45757,-0.00923,16
20,1.16265,0.02442,9
20,3.11256,0.03939,16
20,3.91360,0.07126,10
20,1.15044,0.04206,2
21,2.06302,0.01092,8
21,1.11765,0.00967,7
22,1.82861,0.01816,5
22,1.79158,0.04343,17
22,2.63031,0.03390,10
23,2.07925,0.00287,9
23,3.13069,0.03710,19
23,2.18500,-0.02874,2
23,3.94349,0.08135,2
23,3.48887,-0.01770,13
24,3.14497,0.04722,12
24,2.39252,-0.01659,9
24,3.17463,0.04935,7
24,2.75130,0.04625,9
24,2.07264,0.00289,15
24,3.30974,0.03182,13
24,1.44195,0.03007,11
25,1.78082,0.02065,10
25,2.82278,0.04980,9
26,3.14169,0.05312,11
26,2.07299,0.00524,9
26,3.79485,0.01560,1
26,3.41860,0.01542,6
26,1.94375,0.03358,6
26,3.13331,0.03319,10
27,3.86515,0.05623,10
28,3.54898,-0.01823,3
29,1.77660,0.04766,21
29,3.83370,0.04730,5
30,1.24134,0.04401,2
30,2.64175,0.01201,12
30,2.56237,0.01990,1
32,2.65653,0.00612,11
33,1.18979,0.03365,18
33,2.12332,0.01254,20
34,3.94260,0.06390,8
34,1.03382,0.02717,6
34,2.66289,0.02980,9
35,3.59309,0.00724,8
35,3.27718,0.01215,5
35,2.42869,-0.01372,15
35,3.66291,0.02544,11
35,3.47720,-0.01042,13
37,3.75056,0.02329,5
37,1.74978,0.04813,6
37,1.10673,0.01540,5
37,1.11910,0.04002,8
38,2.08568,0.00197,20
38,3.04442,0.06062,6
39,1.59135,0.01682,14
40,3.97182,0.03862,14
40,2.82121,0.04839,6
40,2.04095,0.02696,7
40,3.22340,0.03425,9
41,2.76033,0.05051,3
41,3.29919,0.03455,8
41,2.48133,0.00901,11
42,1.32072,0.02215,4
43,1.79794,0.04870,6
43,1.63212,0.03558,9
43,3.79858,0.03788,5
44,3.35285,-0.00996,5
44,2.65758,0.00097,9
46,3.01349,0.06891,8
46,3.14894,0.02334,16
46,1.82315,0.04790,9
47,2.05970,0.02788,2
47,2.32847,-0.02995,5
48,3.82027,0.05107,12
48,1.36516,0.03967,4
48,1.62133,0.02344,8
48,2.59426,-0.01768,2
49,3.07318,0.06526,6
49,3.59315,0.02130,5
49,2.21300,-0.00629,8
51,2.12603,0.01815,8
52,3.20027,0.00837,11
52,3.07311,0.02524,5
56,2.95882,0.03787,10
56,1.36951,0.04423,4
57,2.61787,0.02745,3
57,1.90232,0.01000,6
57,4.00906,0.04465,10
58,2.95412,0.04878,16
58,2.80248,0.02856,8
61,2.16300,-0.02709,1
61,2.10422,-0.00620,5
62,2.33601,-0.01107,3
63,3.25490,0.00675,5
63,1.26449,0.01459,6
67,3.18152,0.02024,9
67,3.60188,0.02389,4
68,1.41709,0.02375,5
68,3.72243,0.03906,8
68,2.82509,0.02477,9
68,1.31067,0.04683,1
69,3.17654,0.01026,7
69,2.79871,0.02093,4
69,1.35891,0.04227,2
71,3.21360,0.00067,14
72,3.84618,0.05685,3
73,1.18268,0.00998,1
74,1.99290,0.00108,2
74,3.74948,0.06323,7
75,3.73299,0.05128,5
76,3.09197,0.02250,5
76,1.28024,0.04462,2
76,2.20300,-0.02465,7
77,3.07388,0.02538,2
78,1.30080,0.04384,2
80,3.84871,0.07325,4
80,2.29497,-0.03172,3
81,3.55050,0.01818,2
82,3.33856,-0.00863,4
84,2.61500,-0.01135,2
85,3.01919,0.03165,2
85,3.79410,0.07812,6
87,3.19014,0.05186,10
89,1.27614,0.02102,3
91,2.73801,0.01107,1
91,2.20292,-0.02024,3
92,2.48155,0.01277,7
93,3.76951,0.06863,1
95,1.31486,0.04385,1
96,2.17115,0.01024,4
96,2.26962,-0.00854,3
101,2.25931,-0.00798,4
103,1.45439,0.03272,4
104,3.10117,0.06744,4
105,3.22152,0.04724,5
107,2.51391,0.01729,3
107,2.25863,0.00551,2
107,3.48752,-0.02888,3
107,3.27504,0.04146,5
108,2.14419,0.01996,7
108,2.27424,-0.00109,4
109,2.46355,0.01238,2
110,1.24754,0.01485,1
112,3.67545,0.05088,2
114,2.30212,-0.00022,1
115,2.37855,0.00658,2
115,2.71471,0.05127,8
117,3.82502,0.07172,10
117,3.06648,0.06599,1
117,3.76809,0.08758,3
119,2.18133,0.01218,6
119,3.85230,0.08004,3
120,3.77864,0.09244,2
121,2.40496,0.01449,4
122,2.99849,0.08298,3
122,1.49425,0.01022,2
124,2.80072,0.07846,4
124,2.25273,0.01983,3
124,2.72152,0.05492,3
125,1.11517,0.04505,1
126,2.59186,0.04084,4
126,3.00789,0.09667,2
126,2.37647,0.03389,5
126,2.40463,0.02646,5
126,1.81197,0.01180,1
127,3.14630,0.06450,1
128,2.96970,0.09146,1
128,2.73240,0.08621,2
128,2.24958,0.04308,5
129,2.71153,0.05909,5
129,3.09390,0.07082,1
129,2.86469,0.09165,3
130,2.98442,0.08340,2
130,2.78311,0.07640,4
131,2.53054,0.04188,6
131,2.56177,0.05328,3
131,3.07657,0.07855,1
131,1.35281,-0.00364,4
131,1.40520,0.00227,1
132,1.45831,-0.00236,2
132,3.81454,0.08123,2
132,1.17796,-0.03749,7
132,3.00113,0.08390,3
132,1.66628,0.00415,8
132,2.47495,0.04626,2
132,1.10794,-0.04202,8
133,1.73926,-0.00476,1
133,2.88544,0.07139,3
133,2.76905,0.07629,2
133,2.50927,0.04076,3
133,3.37258,-0.01871,2
133,3.09309,0.07677,2
134,2.71516,0.05932,2
134,2.34155,0.02652,1
134,1.54304,0.00463,2
134,3.28661,-0.01323,1
134,1.55434,0.00687,1
135,3.84705,0.07378,4
135,1.75982,-0.00600,2
135,2.43165,0.04395,2
135,3.84795,0.07491,1
136,1.81826,-0.03636,3
136,1.85001,-0.04367,3
136,1.28133,-0.03077,7
136,2.18498,0.02969,4
