Ts,x,y,label
7,3.41187,0.00087,1
7,1.66202,0.02395,0
7,1.87837,0.02381,0
7,3.11429,0.04530,1
7,3.86412,0.05108,1
8,2.89438,0.05841,0
8,1.86997,0.03472,1
8,3.18152,0.02024,0
8,2.68157,0.01478,1
8,3.79858,0.03788,0
8,2.66037,0.01322,1
8,3.05981,0.05647,1
8,2.77556,0.04288,0
8,1.19571,0.02284,1
8,1.62852,0.02204,0
8,1.96858,0.01762,1
8,1.62705,0.03476,0
8,2.37402,-0.01499,1
8,2.03183,0.01407,1
8,3.13331,0.03319,0
8,2.95047,0.05690,1
8,1.15647,0.03387,1
8,2.10422,-0.00620,0
8,3.36487,0.00234,1
8,1.36969,0.02999,1
8,1.10673,0.01540,1
8,2.05706,0.00881,1
8,1.44195,0.03007,1
8,3.80990,0.03259,1
8,3.57269,0.00630,0
8,3.38186,-0.00133,1
8,2.32847,-0.02995,0
8,3.01349,0.06891,0
8,3.83370,0.04730,0
8,3.95962,0.04811,0
8,2.81306,0.03491,0
9,2.89438,0.05841,1
9,2.88721,0.05846,0
9,2.34835,-0.01225,0
9,2.77556,0.04288,1
9,2.39795,-0.00616,1
9,1.35590,0.02964,1
9,3.85223,0.04089,1
9,3.40876,0.01170,1
9,1.96858,0.01762,1
9,2.13143,0.00851,1
9,1.79794,0.04870,1
9,1.55434,0.00687,0
9,3.01079,0.05368,0
9,3.85159,0.04749,0
9,1.24134,0.04401,0
9,2.02653,0.01073,1
9,2.68781,0.02678,0
9,2.73252,0.02438,1
9,2.16726,-0.01316,0
9,1.66202,0.02395,1
9,1.11765,0.00967,0
9,1.87837,0.02381,1
9,3.46534,0.00843,1
9,3.95962,0.04811,1
9,2.81306,0.03491,1
9,3.27573,0.02748,1
9,3.41860,0.01542,1
10,1.99590,0.02532,1
10,1.90232,0.01000,0
10,1.03382,0.02717,1
10,1.86997,0.03472,1
10,2.88721,0.05846,1
10,3.30481,0.00592,1
10,3.14894,0.02334,0
10,2.34835,-0.01225,1
10,2.39795,-0.00616,1
10,1.35590,0.02964,1
10,1.96858,0.01762,1
10,2.51917,-0.00183,1
10,3.47725,0.00419,1
10,2.95047,0.05690,1
10,3.01079,0.05368,1
10,1.59135,0.01682,1
10,3.43004,0.00215,1
10,2.05706,0.00881,1
10,2.73252,0.02438,1
