Ts,x,y,label
23,3.80419,-0.01036,1
23,3.98119,-0.00276,1
24,3.49860,-0.01896,1
24,2.05867,-0.01172,1
24,1.44421,0.01324,1
24,1.77936,-0.00408,1
24,3.98119,-0.00276,1
24,1.20628,0.00282,1
24,3.86634,0.00618,1
25,2.94540,-0.01920,1
25,1.66426,0.00519,1
25,3.85499,-0.00112,1
25,1.20628,0.00282,1
25,1.54069,-0.00367,1
25,3.34826,0.00859,1
26,3.56147,-0.01734,1
26,3.74603,0.00989,1
26,3.66799,0.00828,1
26,2.94540,-0.01920,1
26,3.85499,-0.00112,1
26,3.68140,-0.01043,1
26,3.34826,0.00859,1
26,1.30436,0.00556,1
27,3.49860,-0.01896,1
27,3.56147,-0.01734,1
27,2.57946,0.01715,1
27,3.85499,-0.00112,1
27,3.80419,-0.01036,1
27,3.82977,0.01215,1
27,1.20628,0.00282,1
27,1.45045,0.02844,1
28,3.95283,0.01679,1
28,2.05867,-0.01172,1
28,3.99447,0.00233,1
28,3.82977,0.01215,1
28,1.13232,0.06918,0
29,3.49860,-0.01896,1
29,2.05867,-0.01172,1
29,3.99447,0.00233,1
29,2.57946,0.01715,1
29,2.29810,-0.00846,1
29,3.80419,-0.01036,1
29,3.82977,0.01215,1
29,1.37392,0.04328,0
30,3.53149,-0.01710,1
30,3.49860,-0.01896,1
30,2.39008,0.00746,1
30,3.99447,0.00233,1
30,2.94540,-0.01920,1
30,2.45395,0.02007,1
30,3.86634,0.00618,1
31,3.95283,0.01679,1
31,2.39008,0.00746,1
31,2.57946,0.01715,1
31,3.85499,-0.00112,1
31,3.80419,-0.01036,1
31,3.37805,-0.00821,1
31,2.39232,-0.00808,1
31,3.68140,-0.01043,1
31,2.83429,-0.01439,1
31,3.86634,0.00618,1
32,3.95283,0.01679,1
32,1.47007,0.01845,1
32,2.57946,0.01715,1
32,1.77936,-0.00408,1
32,3.98119,-0.00276,1
32,4.00151,0.01362,1
32,2.39232,-0.00808,1
32,3.68140,-0.01043,1
33,1.88277,-0.01458,1
33,3.37805,-0.00821,1
33,1.18552,0.09077,0
33,1.59092,0.00544,1
33,1.45045,0.02844,1
33,2.39232,-0.00808,1
33,2.83429,-0.01439,1
34,3.95283,0.01679,1
34,3.53149,-0.01710,1
34,1.88277,-0.01458,1
34,2.57946,0.01715,1
34,3.82977,0.01215,1
34,1.37392,0.04328,1
34,1.44532,0.03863,0
34,3.37805,-0.00821,1
34,1.18552,0.09077,1
34,1.59092,0.00544,1
34,1.45045,0.02844,1
34,3.64050,-0.00544,1
34,2.39232,-0.00808,1
34,2.83429,-0.01439,1
35,3.56147,-0.01734,1
35,3.99447,0.00233,1
35,2.94540,-0.01920,1
35,1.88277,-0.01458,1
35,1.37392,0.04328,1
35,2.45395,0.02007,1
35,3.98119,-0.00276,1
35,3.37805,-0.00821,1
35,1.18552,0.09077,1
35,1.45045,0.02844,1
35,2.39232,-0.00808,1
35,2.83429,-0.01439,1
36,1.03460,0.11232,0
36,1.47007,0.01845,1
36,2.39008,0.00746,1
36,3.99447,0.00233,1
36,2.94540,-0.01920,1
36,2.29810,-0.00846,1
36,3.82977,0.01215,1
36,1.37392,0.04328,1
36,2.45395,0.02007,1
36,1.44532,0.03863,1
36,3.98119,-0.00276,1
36,1.18552,0.09077,1
36,3.86634,0.00618,1
37,3.56147,-0.01734,1
37,3.99447,0.00233,1
37,3.74603,0.00989,1
37,2.27141,-0.01577,1
37,2.94540,-0.01920,1
37,1.66426,0.00519,1
37,3.82977,0.01215,1
37,2.45395,0.02007,1
37,1.77936,-0.00408,1
37,1.44532,0.03863,1
37,3.37805,-0.00821,1
37,1.18552,0.09077,1
37,3.68140,-0.01043,1
37,3.86634,0.00618,1
38,3.95283,0.01679,1
38,3.53149,-0.01710,1
38,3.56147,-0.01734,1
38,3.75497,-0.02119,1
38,2.05867,-0.01172,1
38,2.27141,-0.01577,1
38,2.94540,-0.01920,1
38,1.66426,0.00519,1
38,3.85499,-0.00112,1
38,3.82977,0.01215,1
38,1.77936,-0.00408,1
38,3.68140,-0.01043,1
38,2.83429,-0.01439,1
39,3.95283,0.01679,1
39,3.53149,-0.01710,1
39,1.18478,0.05847,0
39,2.05867,-0.01172,1
39,2.27141,-0.01577,1
39,1.44421,0.01324,1
39,1.66426,0.00519,1
39,2.57946,0.01715,1
39,3.82977,0.01215,1
39,4.00151,0.01362,1
39,2.39232,-0.00808,1
39,3.34826,0.00859,1
39,2.83429,-0.01439,1
40,3.95283,0.01679,1
40,3.53149,-0.01710,1
40,3.49860,-0.01896,1
40,3.75497,-0.02119,1
40,1.44421,0.01324,1
40,1.66426,0.00519,1
40,2.57946,0.01715,1
40,2.29810,-0.00846,1
40,1.50623,-0.00076,1
40,3.68140,-0.01043,1
40,3.86634,0.00618,1
41,3.74603,0.00989,1
41,2.94540,-0.01920,1
41,1.44421,0.01324,1
41,1.88277,-0.01458,1
41,2.29810,-0.00846,1
41,3.82977,0.01215,1
41,1.77936,-0.00408,1
41,1.50623,-0.00076,1
41,3.64050,-0.00544,1
41,3.86634,0.00618,1
42,1.18478,0.05847,1
42,3.74603,0.00989,1
42,2.94540,-0.01920,1
42,1.44421,0.01324,1
42,2.29810,-0.00846,1
42,3.82977,0.01215,1
42,3.37805,-0.00821,1
42,1.59092,0.00544,1
42,1.50623,-0.00076,1
42,2.83429,-0.01439,1
42,3.86634,0.00618,1
43,1.03460,0.11232,1
43,1.47007,0.01845,1
43,2.39008,0.00746,1
43,2.27141,-0.01577,1
43,2.29810,-0.00846,1
43,3.80419,-0.01036,1
43,3.82977,0.01215,1
43,1.44532,0.03863,1
43,1.45045,0.02844,1
43,2.83429,-0.01439,1
43,3.86634,0.00618,1
44,3.95283,0.01679,1
44,1.18478,0.05847,1
44,3.99447,0.00233,1
44,3.85499,-0.00112,1
44,2.29810,-0.00846,1
44,3.80419,-0.01036,1
44,3.82977,0.01215,1
44,1.77936,-0.00408,1
44,1.45045,0.02844,1
44,2.83429,-0.01439,1
44,3.86634,0.00618,1
45,3.95283,0.01679,1
45,3.99447,0.00233,1
45,3.74603,0.00989,1
45,1.44421,0.01324,1
45,3.85499,-0.00112,1
45,1.45045,0.02844,1
45,3.86634,0.00618,1
46,3.95283,0.01679,1
46,2.05867,-0.01172,1
46,2.29810,-0.00846,1
46,3.80419,-0.01036,1
46,1.37392,0.04328,1
46,1.13232,0.06918,1
46,4.00151,0.01362,1
46,1.45045,0.02844,1
47,3.95283,0.01679,1
47,2.05867,-0.01172,1
47,2.29810,-0.00846,1
47,1.37392,0.04328,1
47,3.37805,-0.00821,1
47,1.13232,0.06918,1
47,1.18552,0.09077,1
47,4.00151,0.01362,1
47,1.54069,-0.00367,1
47,3.64050,-0.00544,1
48,3.56147,-0.01734,1
48,2.05867,-0.01172,1
48,2.27141,-0.01577,1
48,1.88277,-0.01458,1
48,2.29810,-0.00846,1
48,3.82977,0.01215,1
48,1.18552,0.09077,1
48,1.54069,-0.00367,1
48,2.10610,-0.01971,1
49,2.27141,-0.01577,1
49,1.66426,0.00519,1
49,1.88277,-0.01458,1
49,2.29810,-0.00846,1
49,3.37805,-0.00821,1
49,1.54069,-0.00367,1
49,1.45045,0.02844,1
49,3.68140,-0.01043,1
49,3.34826,0.00859,1
50,1.47007,0.01845,1
50,2.27141,-0.01577,1
