"Points:0","Points:1","Points:2"
6.89116,-0.10168,0
6.66522,0.00526,0.00333
6.45264,0.13683,0.00213
6.24064,0.26933,0.00089
5.99494,0.31546,0.00255
5.75166,0.373,0.00201
5.50514,0.3323,0.01067
5.27367,0.42671,0.00761
5.04868,0.5355,0.00118
4.80761,0.60173,0
4.55799,0.61435,0.00541
4.32016,0.69127,0.00073
4.07203,0.72175,0.00088
