,xp,yp,life
289,3.921398,0.008669,1
290,2.91247,0.019147,2
292,2.891517,0.030004,3
293,3.46822,0.02196,6
295,1.969503,0.027134,2
296,1.133206,-0.082405,4
297,2.77095,0.02168,5
298,1.286262,-0.060183,2
299,1.766806,0.000863,2
301,1.302624,-0.060899,2
302,1.288682,-0.064484,1
303,3.357048,0.016759,5
304,2.062577,-0.002479,5
306,2.411105,-0.065368,3
307,3.805768,-0.013525,5
308,3.011774,0.012315,1
309,1.548749,-0.021039,2
310,4.009675,0.0027,9
311,2.210231,-0.038944,6
312,2.378292,-0.062044,4
313,3.414015,0.028823,1
314,2.944486,0.035967,4
315,1.594557,-0.000218,3
316,2.342069,-0.063917,6
317,1.77721,0.002664,2
318,2.388373,-0.06967,5
319,2.320992,-0.061228,5
320,3.261869,0.030369,5
321,3.764451,-0.012761,6
323,1.377665,-0.038237,3
324,1.783832,0.024873,2
325,2.61867,-0.00266,1
326,2.106583,-0.019049,5
327,1.822496,0.024556,4
328,1.90653,0.023501,5
329,2.124811,-0.029209,5
330,1.52132,-0.001356,2
331,1.25747,-0.056109,9
332,3.257561,0.01046,3
333,1.56114,-0.008882,2
334,4.095674,0.000965,9
335,3.414015,0.028823,4
336,1.195758,-0.054582,7
337,2.964618,0.037608,4
340,3.171876,0.017694,2
341,2.743844,0.003238,11
344,1.302624,-0.060899,1
345,2.925566,0.028972,6
347,1.239108,-0.0457,6
349,3.983997,-0.009067,9
350,1.77721,0.002664,6
351,1.969503,0.027134,2
354,1.286445,-0.049199,8
355,3.107201,0.025244,7
356,2.594033,-0.024594,5
357,4.110236,0.012349,9
358,2.685647,-0.001381,5
359,3.286972,0.033694,3
360,1.350723,-0.036349,3
361,3.457656,0.012895,6
362,3.827775,-0.036139,7
363,2.940132,0.022,4
364,3.839926,-0.036006,8
365,1.703084,-0.019258,11
366,3.201266,0.023684,6
367,2.574433,-0.03152,4
368,2.378292,-0.062044,1
369,1.288682,-0.064484,13
370,3.357048,0.016759,7
371,1.649137,-0.033046,1
372,2.411105,-0.065368,8
373,2.756978,-0.008612,1
374,2.891517,0.030004,8
376,1.502281,-0.040323,12
377,3.724501,-0.008254,7
378,1.333958,-0.046723,11
379,1.882424,0.015676,10
380,2.477987,-0.055868,9
381,2.944486,0.035967,2
382,2.91247,0.019147,1
383,2.505241,-0.047404,10
384,2.187472,-0.056012,5
385,2.17683,-0.04719,8
386,3.521217,0.029814,7
387,3.629072,0.024615,6
388,1.848081,0.006183,9
389,2.388373,-0.06967,6
390,2.320992,-0.061228,8
391,1.607174,-0.03003,13
393,2.721304,-0.012866,14
394,3.764451,-0.012761,6
395,3.257561,0.01046,2
397,1.377665,-0.038237,4
398,2.378292,-0.062044,5
399,1.649137,-0.033046,8
400,3.805768,-0.013525,1
402,2.342069,-0.063917,10
403,3.46822,0.02196,8
404,1.929005,0.002333,3
406,2.124811,-0.029209,7
408,1.350723,-0.036349,3
409,3.414015,0.028823,3
410,2.944486,0.035967,5
411,2.964618,0.037608,5
412,2.91247,0.019147,1
413,2.756978,-0.008612,12
414,1.747505,-0.021443,6
415,2.106583,-0.019049,1
417,2.679079,-0.01662,17
418,3.261869,0.030369,9
419,1.286262,-0.060183,9
420,3.286972,0.033694,7
421,2.024439,-0.018814,4
424,1.302624,-0.060899,8
425,2.925566,0.028972,7
427,1.77721,0.002664,10
428,1.90653,0.023501,5
429,1.25747,-0.056109,11
430,3.567488,0.011011,8
431,1.195758,-0.054582,6
432,4.114236,0.03833,3
433,3.805768,-0.013525,2
434,2.91247,0.019147,7
436,2.106583,-0.019049,12
437,1.766806,0.000863,14
438,3.357048,0.016759,10
439,3.414015,0.028823,3
441,3.983451,0.028772,13
443,4.077493,0.03486,7
444,1.286445,-0.049199,5
445,2.210231,-0.038944,11
446,1.507426,-0.060069,11
447,2.574433,-0.03152,1
448,2.622676,-0.045316,1
449,2.378292,-0.062044,5
450,3.814297,0.011508,21
451,4.12293,0.051923,22
452,3.457656,0.012895,17
453,3.921398,0.008669,3
454,3.977539,0.029031,24
455,3.886991,0.01079,12
457,3.107201,0.025244,21
458,2.594144,-0.047869,5
460,3.201266,0.023684,15
463,3.803397,0.023354,3
464,4.043084,0.04195,62
466,3.96101,0.032048,15
467,3.061227,0.01934,11
469,2.594033,-0.024594,1
470,2.574433,-0.03152,10
471,2.062577,-0.002479,17
472,4.114236,0.03833,8
473,2.964618,0.037608,1
474,4.057204,0.034382,28
475,2.388373,-0.06967,11
476,2.040003,-0.010849,3
478,1.882424,0.015676,21
479,2.743844,0.003238,3
481,1.848081,0.006183,8
482,2.477987,-0.055868,19
484,2.940132,0.022,9
485,1.537297,-0.060202,9
487,1.703084,-0.019258,7
488,3.744265,0.015269,25
489,2.487772,-0.071249,1
490,1.649137,-0.033046,6
491,3.257561,0.01046,25
492,3.521217,0.029814,1
493,1.211776,-0.037726,4
494,2.925566,0.028972,27
495,1.288682,-0.064484,18
496,1.239108,-0.0457,3
498,2.411105,-0.065368,4
499,2.320992,-0.061228,18
501,2.271182,-0.040393,14
502,2.944486,0.035967,1
503,2.342069,-0.063917,19
504,1.747505,-0.021443,4
505,3.46822,0.02196,2
506,1.90653,0.023501,19
507,1.286445,-0.049199,2
508,3.973419,0.02765,55
509,2.124811,-0.029209,3
510,3.171876,0.017694,23
511,2.594033,-0.024594,2
513,2.743844,0.003238,7
514,3.521217,0.029814,1
515,1.302624,-0.060899,17
516,3.921398,0.008669,5
519,2.91247,0.019147,4
520,2.505241,-0.047404,9
521,3.715739,0.018459,1
524,1.445298,-0.088036,6
525,3.429441,3.8e-05,2
526,2.378292,-0.062044,13
528,1.704342,-0.03681,1
530,2.891517,0.030004,22
531,2.040003,-0.010849,2
532,2.721304,-0.012866,14
534,3.567488,0.011011,2
535,1.509171,-0.071306,3
536,1.195758,-0.054582,10
537,3.715739,0.018459,19
538,3.415152,0.001695,14
539,3.357048,0.016759,2
540,2.944486,0.035967,11
541,1.408348,-0.083138,11
542,3.803397,0.023354,40
543,3.703881,0.030617,7
544,1.607174,-0.03003,2
546,1.286262,-0.060183,18
548,3.629072,0.024615,18
550,1.649137,-0.033046,1
551,3.813497,0.023385,44
553,4.077493,0.03486,67
554,1.286445,-0.049199,4
555,1.507426,-0.060069,12
556,2.594144,-0.047869,8
557,1.25747,-0.056109,17
558,1.239108,-0.0457,19
559,2.964618,0.037608,9
560,2.756978,-0.008612,27
561,2.106583,-0.019049,3
564,3.429441,3.8e-05,11
565,1.848081,0.006183,15
566,1.77721,0.002664,15
568,1.703084,-0.019258,11
