0.319939,0.013591,88
2.415152,0.001695,500
1.166175,-0.005263,499
1.427398,-0.023473,499
2.414015,0.028823,499
1.597488,0.004766,499
0.594557,-0.000218,2
1.76915,0.039141,499
1.615252,0.010457,499
1.318918,-0.010071,499
1.450272,-0.020817,499
1.062577,-0.002479,499
2.803397,0.023354,499
2.026107,0.006696,499
0.77721,0.002664,499
2.011774,0.012315,499
1.442528,-0.023856,499
1.221975,-0.008806,499
2.357048,0.016759,498
0.370434,0.035763,498
1.307116,-0.009628,498
0.142659,0.024531,498
0.108001,0.007996,498
1.226696,0.002829,498
2.813497,0.023385,498
1.964618,0.037608,498
0.042938,0.017663,498
1.61867,-0.00266,498
0.929005,0.002333,498
1.106583,-0.019049,498
0.067136,0.013611,498
1.817948,0.045222,498
1.589812,0.005336,498
1.124811,-0.029209,498
1.378828,-0.017578,497
0.412438,0.032511,497
1.024439,-0.018814,497
1.505186,-0.003271,497
2.457656,0.012895,497
1.498442,-0.014836,497
1.940132,0.022,497
2.715739,0.018459,497
1.891517,0.030004,497
2.061227,0.01934,497
1.040003,-0.010849,497
0.615972,0.019088,496
1.263239,-0.01107,496
2.814297,0.011508,496
1.944486,0.035967,496
0.380276,0.036985,496
2.977539,0.029031,496
0.491513,0.059953,496
0.822496,0.024556,496
0.59971,0.03242,496
1.690427,0.015925,496
2.973419,0.02765,496
1.769812,0.0526,495
0.615594,0.04452,495
0.050781,-0.003335,495
0.783832,0.024873,495
2.261869,0.030369,87
1.91247,0.019147,494
0.486422,0.03971,494
1.547762,0.01076,493
2.886991,0.01079,493
2.46822,0.02196,493
0.540431,0.035107,493
2.703881,0.030617,492
0.200196,0.020962,492
2.96101,0.032048,492
2.921398,0.008669,491
1.770457,0.025557,491
2.983451,0.028772,491
1.77095,0.02168,491
0.630907,0.030294,490
2.08829,0.001436,488
0.90653,0.023501,470
2.724501,-0.008254,11
0.319939,0.013591,408
2.261869,0.030369,83
0.5415,0.064586,405
2.261869,0.030369,137
2.261869,0.030369,66
2.261869,0.030369,40
2.261869,0.030369,16
