Ts,x,y,life
255,11.03880,2.43808,1
255,11.01930,2.41720,1
260,11.26730,2.36040,1
260,10.31820,2.67798,1
261,9.64514,2.42592,1
261,11.32310,2.39042,1
261,10.32750,2.65665,1
262,9.52912,2.31223,1
267,10.97640,2.23190,1
267,11.67180,2.48903,1
270,11.94440,2.88823,1
272,11.48700,2.34843,1
274,11.44520,2.32494,1
279,11.63070,2.40996,1
281,12.11600,2.93842,1
281,11.08870,2.09960,1
282,12.05110,2.88126,1
283,11.01530,2.18869,1
286,11.08220,2.16764,2
287,12.05910,2.79202,1
287,10.74050,2.33323,1
288,10.34660,2.64006,1
288,12.30030,3.27660,1
289,12.06290,2.72434,1
289,11.86240,2.48128,1
290,12.07200,2.83866,1
290,10.83350,2.25013,1
290,12.18380,3.10383,1
290,12.20050,3.13241,1
290,12.21400,3.18902,1
291,12.22410,3.19043,1
291,12.32110,3.39776,1
293,12.11820,3.07854,1
296,11.37300,2.14148,1
297,11.45560,2.14616,1
298,11.92350,2.41304,1
299,12.29570,3.51868,1
300,11.21620,2.17588,1
302,11.83900,2.21184,1
302,11.26930,2.14963,1
304,12.23630,3.60538,1
305,11.70000,2.10243,1
306,12.01400,2.84255,1
308,11.13040,1.95450,1
309,11.99530,3.10087,1
310,12.09790,3.31956,1
312,12.46400,3.88210,2
314,11.60960,2.04052,1
316,11.85780,2.36244,1
319,12.64920,4.07260,1
320,12.17320,3.63589,1
322,12.07810,3.41420,1
324,12.49910,4.09868,1
325,12.95390,4.32216,1
325,12.66370,4.18575,1
326,12.89060,4.32223,1
326,11.85530,2.62220,1
327,11.90040,3.04805,1
329,13.12240,4.27166,1
329,11.99010,3.06440,1
330,12.55590,4.13651,1
331,13.10260,4.19986,1
334,12.70970,4.20774,1
334,12.87620,4.19175,2
334,12.10380,3.92091,1
334,13.37770,4.18817,1
336,13.12690,4.14843,2
336,11.96670,3.11375,1
336,11.97780,3.72932,2
337,11.93970,3.13637,1
339,12.95660,4.14089,1
339,12.01300,2.88176,1
340,13.04280,4.09966,1
341,12.10120,3.91888,1
343,11.95600,3.32982,1
344,11.89540,3.45228,1
346,13.70040,4.19000,1
346,11.89750,3.63011,1
346,12.56780,4.26542,2
349,13.27300,4.19043,1
350,13.15820,4.24440,1
350,13.59350,4.12613,1
351,13.74480,4.13953,2
351,12.20110,3.88913,1
352,13.75990,4.14075,1
352,13.41250,4.09249,1
353,13.95660,4.10175,1
353,13.85560,4.11724,1
353,13.77780,4.13497,1
353,13.77570,4.14545,1
354,13.11250,4.36736,1
354,13.03930,4.37494,1
357,12.87400,4.37619,1
358,12.29350,4.18755,1
360,13.82590,4.13989,1
361,13.53880,4.10799,1
362,11.96610,3.95227,1
365,14.46910,3.99365,1
366,12.08310,4.05043,1
368,13.67620,4.00261,1
371,12.06810,4.09493,1
372,14.05190,3.98861,1
376,13.65890,3.89037,1
376,13.83510,3.93648,1
377,14.80510,3.91712,1
377,14.83020,3.91365,1
383,12.83790,4.14148,1
385,13.80500,3.89093,1
387,13.95680,3.85974,1
387,13.77120,3.82011,1
390,14.80880,4.03517,1
390,15.26590,3.66709,1
393,13.16870,4.05627,1
394,15.44710,3.55374,1
395,13.70280,3.80354,1
395,15.30300,3.66160,1
397,15.54120,3.49149,1
398,14.30290,4.18667,1
399,13.97340,4.01399,1
399,14.17130,4.18125,1
400,15.66640,3.36661,1
403,15.58530,3.17682,1
405,15.48140,3.59089,1
405,15.14200,3.68801,1
405,15.55170,3.17091,1
405,15.50740,3.56731,1
406,15.03610,3.82168,1
406,15.52450,3.16094,1
407,15.64730,3.21884,2
407,15.69340,3.44402,1
407,15.55010,3.17326,1
407,15.56090,3.17961,1
408,15.52070,3.62951,1
409,15.58520,3.62635,1
409,15.66660,3.55815,1
409,15.67240,3.24867,1
409,15.61510,3.59537,1
409,14.77740,3.94863,1
409,14.27560,4.20258,1
409,14.29160,4.19368,1
411,14.03000,4.17406,1
411,14.19320,4.22362,1
415,15.90010,3.02994,1
415,14.45000,4.20270,1
416,15.77960,3.05540,1
416,15.69730,3.16113,2
417,15.68700,3.49388,1
418,15.66200,3.52803,1
418,15.65430,3.55723,1
419,15.25690,3.74033,1
419,15.58680,3.72347,1
419,14.98040,3.72995,1
419,15.60870,3.22843,1
420,15.46820,3.82901,1
420,15.86830,3.04607,1
421,14.91980,3.74753,1
423,16.04540,3.20223,1
424,14.49660,4.09828,1
424,14.77700,3.81983,1
425,16.12350,2.91998,1
426,16.07720,3.00125,1
427,16.16150,2.70571,1
429,14.78960,3.90756,1
429,14.83470,3.88428,1
432,14.69130,4.14046,1
432,14.93410,3.75899,1
433,16.30060,2.74784,1
434,15.68380,3.84547,1
436,16.39020,2.57888,2
438,16.13400,3.16525,1
442,15.75760,3.81720,1
442,16.11290,3.24587,1
442,15.92440,3.63558,1
447,16.54540,1.84626,3
447,16.49410,1.97141,2
447,16.53050,1.84384,1
448,16.54180,2.56174,1
448,16.48300,2.14490,1
450,16.48540,1.93753,1
450,16.12430,3.01044,1
450,16.26950,2.92239,1
453,16.49210,2.41973,1
455,16.49880,2.72497,1
457,16.01530,3.15447,1
457,16.41190,2.87969,1
458,16.50010,2.56704,1
459,16.38040,1.67104,1
466,16.46930,2.42301,1
468,16.33860,1.83134,1
473,16.35960,2.94991,1
474,16.29240,1.85693,1
474,16.88960,0.79136,1
474,16.32760,2.93807,1
474,16.60480,1.05245,1
477,16.95950,0.75474,2
478,16.24910,1.59908,1
478,16.35600,2.51190,1
478,16.76210,0.82300,1
479,16.24890,1.61697,1
479,16.51930,1.13435,1
479,16.70920,0.93597,1
480,16.72570,0.86429,1
480,16.90670,0.78933,1
480,16.69550,0.95435,1
481,16.73890,0.80461,1
482,16.27200,1.58734,1
482,16.28800,1.47201,1
485,16.54350,2.55047,1
487,16.31290,2.05726,1
489,16.40910,2.28484,1
489,16.27270,1.40299,1
495,17.09000,0.54654,1
497,16.44770,1.02325,2
497,16.38580,1.17826,2
498,17.04390,0.49120,1
499,17.30320,0.47994,1
