"Points:0","Points:1","Points:2"
2.48683,0.00354,0
3.37061,0.04397,0
2.6167,-0.0433,0
2.44983,0.0119,0
3.76246,-0.01572,0
2.41162,0.03675,0
2.73614,-0.08717,0
2.06664,0.08135,0
1.61984,0.12012,0
3.54187,0.07352,0
1.96225,0.10295,0
1.9445,0.11822,0
3.60279,0.07513,0
3.70949,0.00741,0
4.0024,-0.02413,0
3.70927,0.01181,0
2.58123,-0.01965,0
3.36261,0.0597,0
3.14875,-0.07486,0
2.32114,0.06484,0
1.45295,0.11769,0
2.08082,0.06466,0
3.05204,-0.08373,0
1.32236,0.11515,0
2.82882,-0.1218,0
1.82465,0.13677,0
1.53998,0.1251,0
3.97111,-0.02423,0
3.29254,0.03437,0
2.74898,-0.07366,0
2.44907,0.02033,0
1.78595,0.10918,0
1.53847,0.13003,0
2.74373,-0.08822,0
1.55232,0.11197,0
1.24036,0.08953,0
