"Points:0","Points:1","Points:2"
3.12754,-0.00945,0
2.70041,-0.04705,0
3.56097,0.08801,0
3.76246,-0.01572,0
2.61535,-0.00442,0
2.94435,-0.09498,0
2.10197,0.13392,0
3.60279,0.07513,0
2.15451,0.12681,0
3.51942,0.11438,0
1.63468,0.17644,0
3.77014,-0.00026,0
1.61553,0.19632,0
3.41976,0.09656,0
3.85116,-0.00266,0
1.83992,0.1408,0
2.61256,0.00327,0
3.53948,0.11321,0
2.9123,-0.10597,0
1.3074,0.14422,0
1.62687,0.18701,0
1.1687,0.10956,0
3.01983,-0.08405,0
3.78408,-0.02396,0
3.09587,-0.04513,0
2.74898,-0.07366,0
2.79135,-0.10262,0
1.24875,0.11421,0
1.85418,0.13499,0
3.65126,0.06079,0
2.74373,-0.08822,0
2.53032,0.03233,0
3.37963,0.09772,0
