"Points:0","Points:1","Points:2"
2.29924,-14.7086,0
2.23793,-14.927,0
2.25309,-15.0298,0
2.24631,-15.0648,0
2.22847,-15.1418,0
2.22449,-15.45,0
2.22705,-15.3669,0
2.235,-15.431,0
2.16141,-15.6192,0
2.17619,-15.6079,0
2.17935,-15.6086,0
2.16517,-15.6522,0
1.99257,-15.9807,0
1.98386,-16.0273,0
1.95457,-16.0741,0
1.88821,-16.3649,0
1.94207,-16.5464,0
2.03145,-16.8883,0
2.04616,-16.9503,0
2.06247,-16.9992,0
2.08281,-17.0909,0
2.11362,-17.1263,0
2.16604,-17.1968,0
2.18752,-17.2725,0
2.24833,-17.3321,0
