"Points:0","Points:1","Points:2"
3.70166,0.02165,0
2.22554,0.02082,0
3.69969,0.02228,0
3.73819,0.0122,0
3.13025,-0.06261,0
1.39036,0.09248,0
1.45497,0.10615,0
3.36644,0.03986,0
2.53379,-0.06327,0
1.4543,0.09625,0
2.77073,-0.08456,0
2.24049,-0.0094,0
3.22322,-0.01477,0
1.61984,0.12012,0
2.48434,-0.06209,0
3.52473,0.06381,0
1.17398,0.04439,0
3.79251,-0.00711,0
1.70075,0.06611,0
3.70949,0.00741,0
2.93439,-0.06767,0
1.39516,0.08097,0
4.0024,-0.02413,0
1.3673,0.08706,0
3.85116,-0.00266,0
3.5683,0.06834,0
3.07817,-0.07762,0
1.21774,0.06445,0
3.07055,-0.07325,0
3.6386,0.02804,0
2.293,-0.00403,0
3.14431,-0.03236,0
3.97111,-0.02423,0
3.29254,0.03437,0
2.75863,-0.08227,0
3.51801,0.09368,0
3.14108,-0.05305,0
1.33486,0.08313,0
1.82403,0.0337,0
2.74373,-0.08822,0
2.88874,-0.08486,0
1.11288,0.0617,0
