"Points:0","Points:1","Points:2"
3.63812,-1.08034,0
3.65005,-0.90962,0
4.31039,-0.66037,0
3.62727,-0.96977,0
3.6798,-0.78894,0
4.49958,-0.47806,0
4.39988,0.12442,0
3.69025,-0.75839,0
3.63807,-1.03603,0
3.67312,-0.78996,0
4.13114,0.74374,0
4.20794,0.62694,0
3.95547,-0.69418,0
4.14735,-0.71608,0
4.37815,0.25927,0
4.09465,-0.73184,0
4.40941,0.14065,0
4.32424,0.38885,0
4.27582,0.4748,0
3.61965,-1.02255,0
4.35582,-0.66189,0
4.17201,-0.73754,0
4.30839,-0.65693,0
4.54421,-0.42188,0
4.53595,-0.40554,0
3.86188,-1.35738,0
3.72006,-1.25066,0
3.71501,-1.25084,0
3.81149,-1.34342,0
