"Points:0","Points:1","Points:2"
3.73037,-1.16813,0
3.8126,0.63561,0
4.25044,-0.5968,0
3.60058,0.75975,0
3.63289,0.74225,0
4.3562,0.0424,0
3.56372,0.76041,0
3.92558,0.507,0
4.43674,-0.24923,0
3.72845,-1.23191,0
4.1248,-0.84103,0
4.33684,0.07348,0
4.40723,-0.12509,0
4.16116,0.31239,0
3.91888,-1.06734,0
4.1394,-0.77137,0
4.38005,-0.45852,0
4.37213,-0.46652,0
3.71127,-1.21357,0
4.31631,0.09293,0
4.41312,-0.11275,0
4.21609,-0.62743,0
4.40552,-0.36105,0
3.75759,0.6548,0
4.14296,0.34016,0
4.27363,0.18053,0
3.57966,0.75349,0
3.53993,0.77335,0
3.71919,0.69946,0
3.81555,0.61769,0
3.69679,-1.33174,0
3.66476,-1.3626,0
