"Points:0","Points:1","Points:2"
3.28272,-11.4694,0.003
3.25379,-11.2211,0.00312
3.30465,-10.9763,0.00292
3.38256,-10.7388,0.00245
3.37015,-10.4891,0.00275
3.35087,-10.2399,0.00383
3.28887,-9.99766,0.00429
3.122,-9.81151,0.00504
2.93222,-9.64885,0
2.77497,-9.45466,0.00796
2.66246,-9.23141,0.00798
2.53346,-9.01735,0.0018
2.4418,-8.78477,1e-05
