"Points:0","Points:1","Points:2"
3.53251,-1.02947,0
3.54226,-0.93111,0
3.67495,-1.1401,0
4.31393,-0.66398,0
3.93936,-0.63343,0
3.77527,-0.57538,0
3.92054,-0.64731,0
4.48248,0.20752,0
3.67496,-1.15393,0
3.55745,-0.9446,0
4.4909,-0.52088,0
3.61037,-0.5896,0
3.55341,-0.67203,0
3.78863,-0.55647,0
3.87965,-0.59175,0
3.58843,-0.5993,0
3.87313,-0.58152,0
3.78461,-0.53991,0
4.10546,-0.71027,0
4.31522,-0.65588,0
4.48347,0.32143,0
3.55668,-1.10386,0
4.0764,-0.70371,0
4.49931,0.02927,0
4.30839,-0.65693,0
4.55019,-0.41102,0
4.50493,-0.54148,0
4.50439,0.05392,0
4.54345,-0.15146,0
4.54587,-0.06293,0
4.59017,-0.2857,0
4.58865,-0.34707,0
4.50745,-0.52375,0
4.5236,-0.48213,0
3.84204,-1.35403,0
3.77689,-1.26475,0
