Ts,x,y,label,life
8,1.16950,-0.03963,1.0,26
9,1.16950,-0.03963,1.0,26
10,1.16950,-0.03963,1.0,26
11,1.16950,-0.03963,1.0,26
12,1.16950,-0.03963,1.0,26
13,1.16950,-0.03963,1.0,26
14,1.16950,-0.03963,1.0,26
15,1.16950,-0.03963,1.0,26
16,1.16950,-0.03963,1.0,26
17,1.16950,-0.03963,1.0,26
18,1.16950,-0.03963,1.0,26
19,1.16950,-0.03963,1.0,26
20,1.16950,-0.03963,1.0,26
21,1.16950,-0.03963,1.0,26
22,1.16950,-0.03963,1.0,26
23,1.16950,-0.03963,1.0,26
24,1.16950,-0.03963,1.0,26
25,1.16950,-0.03963,1.0,26
26,1.16950,-0.03963,1.0,26
27,1.16950,-0.03963,1.0,26
28,1.16950,-0.03963,1.0,26
38,1.18022,-0.07537,1.0,3
39,1.18022,-0.07537,1.0,3
40,1.18022,-0.07537,1.0,3
41,1.18022,-0.07537,1.0,3
8,1.19200,-0.03489,1.0,22
9,1.19200,-0.03489,1.0,22
10,1.19200,-0.03489,1.0,22
11,1.19200,-0.03489,1.0,22
12,1.19200,-0.03489,1.0,22
13,1.19200,-0.03489,1.0,22
14,1.19200,-0.03489,1.0,22
15,1.19200,-0.03489,1.0,22
16,1.19200,-0.03489,1.0,22
17,1.19200,-0.03489,1.0,22
18,1.19200,-0.03489,1.0,22
19,1.19200,-0.03489,1.0,22
20,1.19200,-0.03489,1.0,22
21,1.19200,-0.03489,1.0,22
22,1.19200,-0.03489,1.0,22
23,1.19200,-0.03489,1.0,22
24,1.19200,-0.03489,1.0,22
25,1.19200,-0.03489,1.0,22
26,1.19200,-0.03489,1.0,22
27,1.19200,-0.03489,1.0,22
28,1.19200,-0.03489,1.0,22
29,1.19200,-0.03489,1.0,22
30,1.19200,-0.03489,1.0,22
12,1.20646,-0.03392,1.0,18
13,1.20646,-0.03392,1.0,18
14,1.20646,-0.03392,1.0,18
15,1.20646,-0.03392,1.0,18
16,1.20646,-0.03392,1.0,18
17,1.20646,-0.03392,1.0,18
18,1.20646,-0.03392,1.0,18
19,1.20646,-0.03392,1.0,18
20,1.20646,-0.03392,1.0,18
21,1.20646,-0.03392,1.0,18
22,1.20646,-0.03392,1.0,18
23,1.20646,-0.03392,1.0,18
24,1.20646,-0.03392,1.0,18
25,1.20646,-0.03392,1.0,18
26,1.20646,-0.03392,1.0,18
27,1.20646,-0.03392,1.0,18
28,1.20646,-0.03392,1.0,18
29,1.20646,-0.03392,1.0,18
30,1.20646,-0.03392,1.0,18
43,1.20918,-0.09968,1.0,9
44,1.20918,-0.09968,1.0,9
45,1.20918,-0.09968,1.0,9
46,1.20918,-0.09968,1.0,9
47,1.20918,-0.09968,1.0,9
48,1.20918,-0.09968,1.0,9
