bds,bmn,bstd
1,0.00165,0.00385
2,0.00117,0.00184
3,0.00108,0.00169
4,0.00144,0.00299
5,0.00138,0.00263
6,0.00153,0.00300
7,0.00168,0.00326
8,0.00160,0.00269
9,0.00164,0.00260
10,0.00185,0.00297
11,0.00151,0.00286
12,0.00253,0.00639
13,0.00554,0.01260
