bds,bmn,bstd
1,0.00094,0.00143
2,0.00090,0.00145
3,0.00092,0.00148
4,0.00077,0.00137
5,0.00095,0.00141
6,0.00087,0.00145
7,0.00085,0.00149
8,0.00080,0.00133
9,0.00094,0.00146
10,0.00075,0.00132
11,0.00084,0.00137
12,0.00093,0.00154
13,0.00118,0.00191
