bds,bmn,bstd
1,0.00100,0.00168
2,0.00082,0.00140
3,0.00103,0.00166
4,0.00088,0.00145
5,0.00092,0.00161
6,0.00105,0.00167
7,0.00102,0.00174
8,0.00107,0.00171
9,0.00111,0.00173
10,0.00094,0.00153
11,0.00109,0.00184
12,0.00097,0.00183
13,0.00198,0.00752
